,atlas,classifier,dataset,iter_shuffle_split,measure,n_regions,scores,dimensionality
286,aal_spm12,svc_l2,ADNI,10,tangent,NA,0.42916667,117
287,aal_spm12,ridge,ADNI,10,tangent,NA,0.48333333,117
288,basc_scale122,svc_l1,ADNI,10,correlation,NA,0.625,122
289,basc_scale122,svc_l2,ADNI,10,correlation,NA,0.7,122
290,basc_scale122,ridge,ADNI,10,correlation,NA,0.7,122
291,basc_scale122,svc_l1,ADNI,10,partial correlation,NA,0.4375,122
292,basc_scale122,svc_l2,ADNI,10,partial correlation,NA,0.56666667,122
293,basc_scale122,ridge,ADNI,10,partial correlation,NA,0.5625,122
294,basc_scale122,svc_l1,ADNI,10,tangent,NA,0.62083333,122
295,basc_scale122,svc_l2,ADNI,10,tangent,NA,0.62916667,122
296,basc_scale122,ridge,ADNI,10,tangent,NA,0.675,122
297,ho_cort_symm_split,svc_l1,ADNI,11,correlation,NA,0.74166667,96
298,ho_cort_symm_split,svc_l2,ADNI,11,correlation,NA,0.80416667,96
299,ho_cort_symm_split,ridge,ADNI,11,correlation,NA,0.8,96
300,ho_cort_symm_split,svc_l1,ADNI,11,partial correlation,NA,0.5,96
301,ho_cort_symm_split,svc_l2,ADNI,11,partial correlation,NA,0.69166667,96
302,ho_cort_symm_split,ridge,ADNI,11,partial correlation,NA,0.69166667,96
303,ho_cort_symm_split,svc_l1,ADNI,11,tangent,NA,0.65,96
304,ho_cort_symm_split,svc_l2,ADNI,11,tangent,NA,0.79583333,96
305,ho_cort_symm_split,ridge,ADNI,11,tangent,NA,0.79583333,96
306,aal_spm12,svc_l1,ADNI,11,correlation,NA,0.75416667,117
307,aal_spm12,svc_l2,ADNI,11,correlation,NA,0.84583333,117
308,aal_spm12,ridge,ADNI,11,correlation,NA,0.8375,117
309,aal_spm12,svc_l1,ADNI,11,partial correlation,NA,0.54166667,117
310,aal_spm12,svc_l2,ADNI,11,partial correlation,NA,0.64583333,117
311,aal_spm12,ridge,ADNI,11,partial correlation,NA,0.64583333,117
312,aal_spm12,svc_l1,ADNI,11,tangent,NA,0.62916667,117
313,aal_spm12,svc_l2,ADNI,11,tangent,NA,0.90416667,117
314,aal_spm12,ridge,ADNI,11,tangent,NA,0.89166667,117
315,basc_scale122,svc_l1,ADNI,11,correlation,NA,0.68333333,122
316,basc_scale122,svc_l2,ADNI,11,correlation,NA,0.82916667,122
317,basc_scale122,ridge,ADNI,11,correlation,NA,0.8125,122
318,basc_scale122,svc_l1,ADNI,11,partial correlation,NA,0.52916667,122
319,basc_scale122,svc_l2,ADNI,11,partial correlation,NA,0.69583333,122
320,basc_scale122,ridge,ADNI,11,partial correlation,NA,0.7,122
321,basc_scale122,svc_l1,ADNI,11,tangent,NA,0.64583333,122
322,basc_scale122,svc_l2,ADNI,11,tangent,NA,0.8875,122
323,basc_scale122,ridge,ADNI,11,tangent,NA,0.88333333,122
