,Unnamed: 0,atlas,classifier,compcor_10,connectome_regress,dataset,dimensionality,iter_shuffle_split,measure,min_region_size_in_mm3,motion_regress,n_regions,region_extraction,scores,scoring,smoothing_fwhm
183,183,dictlearn,svc_l1,yes,no,COBRE,40,20,partial correlation,1500,yes,100,yes,[ 0.45],roc_auc,6.0
184,184,dictlearn,svc_l2,yes,no,COBRE,40,20,partial correlation,1500,yes,100,yes,[ 0.8875],roc_auc,6.0
185,185,dictlearn,ridge,yes,no,COBRE,40,20,partial correlation,1500,yes,100,yes,[ 0.8875],roc_auc,6.0
186,186,dictlearn,svc_l1,yes,no,COBRE,40,20,tangent,1500,yes,100,yes,[ 0.634375],roc_auc,6.0
187,187,dictlearn,svc_l2,yes,no,COBRE,40,20,tangent,1500,yes,100,yes,[ 0.85625],roc_auc,6.0
188,188,dictlearn,ridge,yes,no,COBRE,40,20,tangent,1500,yes,100,yes,[ 0.859375],roc_auc,6.0
189,189,dictlearn,svc_l1,yes,no,COBRE,40,21,correlation,1500,yes,108,yes,[ 0.78125],roc_auc,6.0
190,190,dictlearn,svc_l2,yes,no,COBRE,40,21,correlation,1500,yes,108,yes,[ 0.80625],roc_auc,6.0
191,191,dictlearn,ridge,yes,no,COBRE,40,21,correlation,1500,yes,108,yes,[ 0.803125],roc_auc,6.0
192,192,dictlearn,svc_l1,yes,no,COBRE,40,21,partial correlation,1500,yes,108,yes,[ 0.61875],roc_auc,6.0
193,193,dictlearn,svc_l2,yes,no,COBRE,40,21,partial correlation,1500,yes,108,yes,[ 0.790625],roc_auc,6.0
194,194,dictlearn,ridge,yes,no,COBRE,40,21,partial correlation,1500,yes,108,yes,[ 0.79375],roc_auc,6.0
195,195,dictlearn,svc_l1,yes,no,COBRE,40,21,tangent,1500,yes,108,yes,[ 0.740625],roc_auc,6.0
196,196,dictlearn,svc_l2,yes,no,COBRE,40,21,tangent,1500,yes,108,yes,[ 0.871875],roc_auc,6.0
197,197,dictlearn,ridge,yes,no,COBRE,40,21,tangent,1500,yes,108,yes,[ 0.875],roc_auc,6.0
198,198,dictlearn,svc_l1,yes,no,COBRE,40,22,correlation,1500,yes,101,yes,[ 0.79375],roc_auc,6.0
199,199,dictlearn,svc_l2,yes,no,COBRE,40,22,correlation,1500,yes,101,yes,[ 0.846875],roc_auc,6.0
200,200,dictlearn,ridge,yes,no,COBRE,40,22,correlation,1500,yes,101,yes,[ 0.84375],roc_auc,6.0
201,201,dictlearn,svc_l1,yes,no,COBRE,40,22,partial correlation,1500,yes,101,yes,[ 0.775],roc_auc,6.0
202,202,dictlearn,svc_l2,yes,no,COBRE,40,22,partial correlation,1500,yes,101,yes,[ 0.903125],roc_auc,6.0
203,203,dictlearn,ridge,yes,no,COBRE,40,22,partial correlation,1500,yes,101,yes,[ 0.903125],roc_auc,6.0
204,204,dictlearn,svc_l1,yes,no,COBRE,40,22,tangent,1500,yes,101,yes,[ 0.784375],roc_auc,6.0
205,205,dictlearn,svc_l2,yes,no,COBRE,40,22,tangent,1500,yes,101,yes,[ 0.93125],roc_auc,6.0
206,206,dictlearn,ridge,yes,no,COBRE,40,22,tangent,1500,yes,101,yes,[ 0.93125],roc_auc,6.0
207,207,dictlearn,svc_l1,yes,no,COBRE,40,23,correlation,1500,yes,113,yes,[ 0.58125],roc_auc,6.0
208,208,dictlearn,svc_l2,yes,no,COBRE,40,23,correlation,1500,yes,113,yes,[ 0.725],roc_auc,6.0
209,209,dictlearn,ridge,yes,no,COBRE,40,23,correlation,1500,yes,113,yes,[ 0.725],roc_auc,6.0
210,210,dictlearn,svc_l1,yes,no,COBRE,40,23,partial correlation,1500,yes,113,yes,[ 0.51875],roc_auc,6.0
211,211,dictlearn,svc_l2,yes,no,COBRE,40,23,partial correlation,1500,yes,113,yes,[ 0.9],roc_auc,6.0
212,212,dictlearn,ridge,yes,no,COBRE,40,23,partial correlation,1500,yes,113,yes,[ 0.9],roc_auc,6.0
213,213,dictlearn,svc_l1,yes,no,COBRE,40,23,tangent,1500,yes,113,yes,[ 0.746875],roc_auc,6.0
