,atlas,classifier,dataset,iter_shuffle_split,measure,n_regions,scores,dimensionality
227,aal_spm12,ridge,COBRE,8,correlation,NA,0.8,117
228,aal_spm12,svc_l1,COBRE,8,partial correlation,NA,0.6375,117
229,aal_spm12,svc_l2,COBRE,8,partial correlation,NA,0.840625,117
230,aal_spm12,ridge,COBRE,8,partial correlation,NA,0.84375,117
231,aal_spm12,svc_l1,COBRE,8,tangent,NA,0.5875,117
232,aal_spm12,svc_l2,COBRE,8,tangent,NA,0.840625,117
233,aal_spm12,ridge,COBRE,8,tangent,NA,0.840625,117
234,basc_scale122,svc_l1,COBRE,8,correlation,NA,0.790625,122
235,basc_scale122,svc_l2,COBRE,8,correlation,NA,0.76875,122
236,basc_scale122,ridge,COBRE,8,correlation,NA,0.76875,122
237,basc_scale122,svc_l1,COBRE,8,partial correlation,NA,0.55625,122
238,basc_scale122,svc_l2,COBRE,8,partial correlation,NA,0.81875,122
239,basc_scale122,ridge,COBRE,8,partial correlation,NA,0.81875,122
240,basc_scale122,svc_l1,COBRE,8,tangent,NA,0.575,122
241,basc_scale122,svc_l2,COBRE,8,tangent,NA,0.846875,122
242,basc_scale122,ridge,COBRE,8,tangent,NA,0.85,122
243,ho_cort_symm_split,svc_l1,COBRE,9,correlation,NA,0.78125,96
244,ho_cort_symm_split,svc_l2,COBRE,9,correlation,NA,0.825,96
245,ho_cort_symm_split,ridge,COBRE,9,correlation,NA,0.85,96
246,ho_cort_symm_split,svc_l1,COBRE,9,partial correlation,NA,0.490625,96
247,ho_cort_symm_split,svc_l2,COBRE,9,partial correlation,NA,0.734375,96
248,ho_cort_symm_split,ridge,COBRE,9,partial correlation,NA,0.73125,96
249,ho_cort_symm_split,svc_l1,COBRE,9,tangent,NA,0.684375,96
250,ho_cort_symm_split,svc_l2,COBRE,9,tangent,NA,0.846875,96
251,ho_cort_symm_split,ridge,COBRE,9,tangent,NA,0.84375,96
252,aal_spm12,svc_l1,COBRE,9,correlation,NA,0.65,117
253,aal_spm12,svc_l2,COBRE,9,correlation,NA,0.725,117
254,aal_spm12,ridge,COBRE,9,correlation,NA,0.721875,117
255,aal_spm12,svc_l1,COBRE,9,partial correlation,NA,0.484375,117
256,aal_spm12,svc_l2,COBRE,9,partial correlation,NA,0.784375,117
257,aal_spm12,ridge,COBRE,9,partial correlation,NA,0.784375,117
258,aal_spm12,svc_l1,COBRE,9,tangent,NA,0.6625,117
259,aal_spm12,svc_l2,COBRE,9,tangent,NA,0.846875,117
260,aal_spm12,ridge,COBRE,9,tangent,NA,0.85,117
261,basc_scale122,svc_l1,COBRE,9,correlation,NA,0.621875,122
262,basc_scale122,svc_l2,COBRE,9,correlation,NA,0.821875,122
263,basc_scale122,ridge,COBRE,9,correlation,NA,0.80625,122
264,basc_scale122,svc_l1,COBRE,9,partial correlation,NA,0.525,122
265,basc_scale122,svc_l2,COBRE,9,partial correlation,NA,0.778125,122
266,basc_scale122,ridge,COBRE,9,partial correlation,NA,0.775,122
267,basc_scale122,svc_l1,COBRE,9,tangent,NA,0.7375,122
