,atlas,classifier,dataset,measure,scores
432,aal_spm12,svc_l1,acpi,correlation,0.3046875
433,aal_spm12,svc_l2,acpi,correlation,0.30859375
434,aal_spm12,ridge,acpi,correlation,0.3125
435,aal_spm12,svc_l1,acpi,partial correlation,0.34765625
436,aal_spm12,svc_l2,acpi,partial correlation,0.3671875
437,aal_spm12,ridge,acpi,partial correlation,0.36328125
438,aal_spm12,svc_l1,acpi,tangent,0.37109375
439,aal_spm12,svc_l2,acpi,tangent,0.33984375
440,aal_spm12,ridge,acpi,tangent,0.328125
441,aal_spm12,svc_l1,acpi,correlation,0.44140625
442,aal_spm12,svc_l2,acpi,correlation,0.53125
443,aal_spm12,ridge,acpi,correlation,0.55859375
444,aal_spm12,svc_l1,acpi,partial correlation,0.59765625
445,aal_spm12,svc_l2,acpi,partial correlation,0.73828125
446,aal_spm12,ridge,acpi,partial correlation,0.734375
447,aal_spm12,svc_l1,acpi,tangent,0.60546875
448,aal_spm12,svc_l2,acpi,tangent,0.69921875
449,aal_spm12,ridge,acpi,tangent,0.703125
450,aal_spm12,svc_l1,acpi,correlation,0.4765625
451,aal_spm12,svc_l2,acpi,correlation,0.45703125
452,aal_spm12,ridge,acpi,correlation,0.45703125
453,aal_spm12,svc_l1,acpi,partial correlation,0.66015625
454,aal_spm12,svc_l2,acpi,partial correlation,0.54296875
455,aal_spm12,ridge,acpi,partial correlation,0.5390625
456,aal_spm12,svc_l1,acpi,tangent,0.46484375
457,aal_spm12,svc_l2,acpi,tangent,0.5234375
458,aal_spm12,ridge,acpi,tangent,0.51953125
459,aal_spm12,svc_l1,acpi,correlation,0.37109375
460,aal_spm12,svc_l2,acpi,correlation,0.3359375
461,aal_spm12,ridge,acpi,correlation,0.3359375
462,aal_spm12,svc_l1,acpi,partial correlation,0.6015625
463,aal_spm12,svc_l2,acpi,partial correlation,0.57421875
464,aal_spm12,ridge,acpi,partial correlation,0.58203125
465,aal_spm12,svc_l1,acpi,tangent,0.421875
466,aal_spm12,svc_l2,acpi,tangent,0.5078125
467,aal_spm12,ridge,acpi,tangent,0.51171875
