,atlas,classifier,dataset,dimensionality,iter_shuffle_split,measure,n_regions,scores
191,ho_cort_symm_split,ridge,ABIDE,96,7,correlation,,[ 0.59098668]
192,ho_cort_symm_split,svc_l1,ABIDE,96,7,partial correlation,,[ 0.54720041]
193,ho_cort_symm_split,svc_l2,ABIDE,96,7,partial correlation,,[ 0.57297713]
194,ho_cort_symm_split,ridge,ABIDE,96,7,partial correlation,,[ 0.57323319]
195,ho_cort_symm_split,svc_l1,ABIDE,96,7,tangent,,[ 0.61761693]
196,ho_cort_symm_split,svc_l2,ABIDE,96,7,tangent,,[ 0.65619665]
197,ho_cort_symm_split,ridge,ABIDE,96,7,tangent,,[ 0.65184363]
198,aal_spm12,svc_l1,ABIDE,117,7,correlation,,[ 0.6396381]
199,aal_spm12,svc_l2,ABIDE,117,7,correlation,,[ 0.65167293]
200,aal_spm12,ridge,ABIDE,117,7,correlation,,[ 0.64535678]
201,aal_spm12,svc_l1,ABIDE,117,7,partial correlation,,[ 0.57886651]
202,aal_spm12,svc_l2,ABIDE,117,7,partial correlation,,[ 0.61095937]
203,aal_spm12,ridge,ABIDE,117,7,partial correlation,,[ 0.61010584]
204,aal_spm12,svc_l1,ABIDE,117,7,tangent,,[ 0.60814271]
205,aal_spm12,svc_l2,ABIDE,117,7,tangent,,[ 0.67062137]
206,aal_spm12,ridge,ABIDE,117,7,tangent,,[ 0.67275521]
207,basc_scale122,svc_l1,ABIDE,122,7,correlation,,[ 0.63374872]
208,basc_scale122,svc_l2,ABIDE,122,7,correlation,,[ 0.70262888]
209,basc_scale122,ridge,ABIDE,122,7,correlation,,[ 0.68555821]
210,basc_scale122,svc_l1,ABIDE,122,7,partial correlation,,[ 0.58834073]
211,basc_scale122,svc_l2,ABIDE,122,7,partial correlation,,[ 0.69520314]
212,basc_scale122,ridge,ABIDE,122,7,partial correlation,,[ 0.69571526]
213,basc_scale122,svc_l1,ABIDE,122,7,tangent,,[ 0.62470126]
214,basc_scale122,svc_l2,ABIDE,122,7,tangent,,[ 0.70979857]
215,basc_scale122,ridge,ABIDE,122,7,tangent,,[ 0.70860362]
216,ho_cort_symm_split,svc_l1,ABIDE,96,8,correlation,,[ 0.65090475]
